ORGANIZATION_ID,REPORT_ID,REPORTING_UNIT_ID,BENEFICIAL_USE_ID,SUMMARY_SEQ,ROW_SEQ,AMOUNT,CONSUMPTIVE_INDICATOR,METHOD_ID,START_DATE,END_DATE
TWDB,2015,8,8,1,1,5160.0,2,1,01/01,12/31
TWDB,2015,9,8,1,1,0.0,2,1,01/01,12/31
TWDB,2015,12,9,1,1,17.0,2,1,01/01,12/31
TWDB,2015,13,9,1,1,0.0,2,1,01/01,12/31
TWDB,2015,9999,9,1,1,282.0,2,1,01/01,12/31
TWDB,2015,14,9,1,1,1695.0,2,1,01/01,12/31
TWDB,2015,15,9,1,1,0.0,2,1,01/01,12/31
TWDB,2015,4,9,1,1,4.0,2,1,01/01,12/31
TWDB,2015,18,9,1,1,0.0,2,1,01/01,12/31
TWDB,2015,16,9,1,1,0.0,2,1,01/01,12/31
TWDB,2015,17,9,1,1,0.0,2,1,01/01,12/31
TWDB,2015,6,9,1,1,71.0,2,1,01/01,12/31
TWDB,2015,7,9,1,1,0.0,2,1,01/01,12/31
TWDB,2015,21,9,1,1,0.0,2,1,01/01,12/31
TWDB,2015,22,9,1,1,1.0,2,1,01/01,12/31
TWDB,2015,2,9,1,1,161.0,2,1,01/01,12/31
TWDB,2015,23,9,1,1,91.0,2,1,01/01,12/31
TWDB,2015,5,9,1,1,111.0,2,1,01/01,12/31
TWDB,2015,19,9,1,1,0.0,2,1,01/01,12/31
TWDB,2015,20,9,1,1,0.0,2,1,01/01,12/31
TWDB,2015,10,9,1,1,0.0,2,1,01/01,12/31
TWDB,2015,11,9,1,1,0.0,2,1,01/01,12/31
TWDB,2015,3,9,1,1,0.0,2,1,01/01,12/31
TWDB,2015,8,9,1,1,847.0,2,1,01/01,12/31
TWDB,2015,9,9,1,1,0.0,2,1,01/01,12/31
TWDB,2015,12,10,1,1,28821.0,2,1,01/01,12/31
TWDB,2015,13,10,1,1,0.0,2,1,01/01,12/31
TWDB,2015,9999,10,1,1,1089.0,2,1,01/01,12/31
TWDB,2015,14,10,1,1,6805.0,2,1,01/01,12/31
TWDB,2015,15,10,1,1,0.0,2,1,01/01,12/31
TWDB,2015,4,10,1,1,60.0,2,1,01/01,12/31
TWDB,2015,18,10,1,1,1458.0,2,1,01/01,12/31
TWDB,2015,16,10,1,1,0.0,2,1,01/01,12/31
TWDB,2015,17,10,1,1,0.0,2,1,01/01,12/31
TWDB,2015,6,10,1,1,170.0,2,1,01/01,12/31
TWDB,2015,7,10,1,1,0.0,2,1,01/01,12/31
TWDB,2015,21,10,1,1,3532.0,2,1,01/01,12/31
