ORGANIZATION_ID,REPORT_ID,REPORTING_UNIT_ID,SUMMARY_SEQ,BENEFICIAL_USE_ID,FRESH_SALINE_IND,SOURCE_TYPE,POWER_GENERATED,POPULATION_SERVED,WFS_FEATURE_REF
TWDB,2015,8,1,5,1,1,,,
TWDB,2015,9,1,5,1,1,,,
TWDB,2015,12,1,6,1,1,,,
TWDB,2015,13,1,6,1,1,,,
TWDB,2015,9999,1,6,1,1,,,
TWDB,2015,14,1,6,1,1,,,
TWDB,2015,15,1,6,1,1,,,
TWDB,2015,4,1,6,1,1,,,
TWDB,2015,18,1,6,1,1,,,
TWDB,2015,16,1,6,1,1,,,
TWDB,2015,17,1,6,1,1,,,
TWDB,2015,6,1,6,1,1,,,
TWDB,2015,7,1,6,1,1,,,
TWDB,2015,21,1,6,1,1,,,
TWDB,2015,22,1,6,1,1,,,
TWDB,2015,2,1,6,1,1,,,
TWDB,2015,23,1,6,1,1,,,
TWDB,2015,5,1,6,1,1,,,
TWDB,2015,19,1,6,1,1,,,
TWDB,2015,20,1,6,1,1,,,
TWDB,2015,10,1,6,1,1,,,
TWDB,2015,11,1,6,1,1,,,
TWDB,2015,3,1,6,1,1,,,
TWDB,2015,8,1,6,1,1,,,
TWDB,2015,9,1,6,1,1,,,
TWDB,2015,48001,1,16,1,1,,58906,
TWDB,2015,48005,1,16,1,1,,17920,
TWDB,2015,48009,1,16,1,1,,90373,
TWDB,2015,48013,1,16,1,1,,25110,
TWDB,2015,48017,1,16,1,1,,9136,
TWDB,2015,48021,1,16,1,1,,1939,
TWDB,2015,48025,1,16,1,1,,48783,
TWDB,2015,48029,1,16,1,1,,30446,
TWDB,2015,48033,1,16,1,1,,7112,
TWDB,2015,48037,1,16,1,1,,21317,
TWDB,2015,48041,1,16,1,1,,82713,
TWDB,2015,48045,1,16,1,1,,3551,
TWDB,2015,48049,1,16,1,1,,32702,
TWDB,2015,48053,1,16,1,1,,333994,
TWDB,2015,48057,1,16,1,1,,1890984,
TWDB,2015,48061,1,16,1,1,,11291,
TWDB,2015,48065,1,16,1,1,,674,
TWDB,2015,48069,1,16,1,1,,18370,
TWDB,2015,48073,1,16,1,1,,96719,
TWDB,2015,48077,1,16,1,1,,345717,
TWDB,2015,48081,1,16,1,1,,217790,
TWDB,2015,48085,1,16,1,1,,9152,
TWDB,2015,48089,1,16,1,1,,1476,
TWDB,2015,48093,1,16,1,1,,7209,
TWDB,2015,48097,1,16,1,1,,39128,
TWDB,2015,48101,1,16,1,1,,18113,
TWDB,2015,48105,1,16,1,1,,45616,
TWDB,2015,48109,1,16,1,1,,40031,
TWDB,2015,48113,1,16,1,1,,21452,
TWDB,2015,48117,1,16,1,1,,14154,
TWDB,2015,48121,1,16,1,1,,424133,
TWDB,2015,48125,1,16,1,1,,12683,
TWDB,2015,48129,1,16,1,1,,5993,
TWDB,2015,48133,1,16,1,1,,31000,
TWDB,2015,48137,1,16,1,1,,7699,
TWDB,2015,48141,1,16,1,1,,39041,
TWDB,2015,48145,1,16,1,1,,52316,
TWDB,2015,48149,1,16,1,1,,6937,
TWDB,2015,48153,1,16,1,1,,10643,
TWDB,2015,48157,1,16,1,1,,3053,
TWDB,2015,48161,1,16,1,1,,3202,
TWDB,2015,48165,1,16,1,1,,8572,
TWDB,2015,48169,1,16,1,1,,923201,
TWDB,2015,48173,1,16,1,1,,2981,
TWDB,2015,48177,1,16,1,1,,21848,
TWDB,2015,48181,1,16,1,1,,130021,
TWDB,2015,48185,1,16,1,1,,13906,
TWDB,2015,48189,1,16,1,1,,4183,
TWDB,2015,48193,1,16,1,1,,39488,
